Source.Name,Column1,Name,Profile url,Review,Review url,Detailed Review,Stay Date,Rating
The_Lalit_Mumbai.csv,0,Jigu,https://www.tripadvisor.in//Profile/Gsuuahsisbsbssb,Lalit Mumbai staying 4 night,https://www.tripadvisor.in//ShowUserReviews-g304554-d299124-r847639223-The_Lalit_Mumbai-Mumbai_Maharashtra.html,We had booked apartment for vacation trip with for a party at lalit hotel Mumbai  and the room saspicious food and the starter served in beluga iin room service 24 hours good hospitality i would loved to come back in lalit Mumbai for sure with friends again with my family too ...,1/7/2022,5
The_Lalit_Mumbai.csv,1,Bhavya,https://www.tripadvisor.in//Profile/Bhavya1211,Bhavya shah,https://www.tripadvisor.in//ShowUserReviews-g304554-d299124-r847615686-The_Lalit_Mumbai-Mumbai_Maharashtra.html,"Good hospitality and good stay overall with better customer service , they also allowed early check in  Also they have a very good restaurant and swimming pool which allows us to relax and enjoy our staycation",1/7/2022,5
The_Lalit_Mumbai.csv,2,Bharat Oza,https://www.tripadvisor.in//Profile/BHARAT2003,Regular visits at 'The Lalit',https://www.tripadvisor.in//ShowUserReviews-g304554-d299124-r847614978-The_Lalit_Mumbai-Mumbai_Maharashtra.html,Regular comes to meet our clients for meeting hall aurum 4 Very nice ambience and service. Lovely staff.  Great welcome by guest relations gre the staff was superb and cooperative and helpful chief cook decision kitchen 24 by 7 coffee shop,1/7/2022,5
The_Lalit_Mumbai.csv,3,Suryanshu Saxena,https://www.tripadvisor.in//Profile/suryanshus2021,Family luxury stay @ The Lalit,https://www.tripadvisor.in//ShowUserReviews-g304554-d299124-r847614328-The_Lalit_Mumbai-Mumbai_Maharashtra.html,Excellent luxuxious location is very beauitful view from the room we love excutive lounge services rest and piece enviroment  high tea sandwich of lot option.  Relaxtion a well stocked minibar i enjoy my stay ....,1/7/2022,5
The_Lalit_Mumbai.csv,4,Deepak,https://www.tripadvisor.in//Profile/Xgjbkjbjj,Deepak  Kondaji  Mhaske,https://www.tripadvisor.in//ShowUserReviews-g304554-d299124-r847613535-The_Lalit_Mumbai-Mumbai_Maharashtra.html,It is very nice hotel & service  is also very nice one of the  best experience I have in my travels tours room and restaurant pool area gym lobby  huge absolutely amazing  stay lalit hotel Mumbai.............,1/7/2022,5
The_Lalit_Mumbai.csv,5,PY,https://www.tripadvisor.in//Profile/Pyasat,Business Visit,https://www.tripadvisor.in//ShowUserReviews-g304554-d299124-r847503149-The_Lalit_Mumbai-Mumbai_Maharashtra.html,Great place to stay. Staff was very humble and accommodating and good clean rooms. Must visit place. The food was also good and overall stay was pleasant. We enjoyed our stay and will definitely recommend for business layovers.,1/7/2022,5
The_Lalit_Mumbai.csv,6,Tarang Shrivastava,https://www.tripadvisor.in//Profile/TarangShrivastava,Family,https://www.tripadvisor.in//ShowUserReviews-g304554-d299124-r847274289-The_Lalit_Mumbai-Mumbai_Maharashtra.html,"The stay was great, rooms were spacious enough with a good view. Cleanliness maintained and excellent room service. Provided free breakfast which had multiple options to choose from along with great taste.",1/7/2022,5
The_Lalit_Mumbai.csv,7,YATIN,https://www.tripadvisor.in//Profile/TIPNISfghbbhn,TIPNIS YATIN,https://www.tripadvisor.in//ShowUserReviews-g304554-d299124-r847270937-The_Lalit_Mumbai-Mumbai_Maharashtra.html,Comfortable stayTop class Hygine standard Good service. Was well attended from the check I. Till the time we left experience the best hospitality in every ascept of the stay we came here with family member had a waoo stay...,1/7/2022,5
The_Lalit_Mumbai.csv,8,Srimurugan Govindan,https://www.tripadvisor.in//Profile/gosrvhjnonnn,5 Day Stay,https://www.tripadvisor.in//ShowUserReviews-g304554-d299124-r847104063-The_Lalit_Mumbai-Mumbai_Maharashtra.html,"It was great stay at Lalit, reception and room cleanliness was very good. Staff respose for the request was very helpful and staffs were very pollite and great. Thank you very much. Restaurant and food was very good. Thank you very much.",1/7/2022,5
The_Lalit_Mumbai.csv,9,Sunil Lamkhade,https://www.tripadvisor.in//Profile/sunillamkhade,Very Very Very Poor Guest Service,https://www.tripadvisor.in//ShowUserReviews-g304554-d299124-r847011456-The_Lalit_Mumbai-Mumbai_Maharashtra.html,"I Had Done The Booking from Goibibo. I came to hotel at 12.00 o'clock, in the booking confirmation it shows Early check in is completely depend on occupancy. It was ok for me. But when there was other guest was coming from your so called corporate guests and wedding group guest, everyone was getting the rooms except OTA guests... Till 2.30 i didn't get a room key in hand.  From 12.00 o'clock every 30 mins i went to reception and everytime i was getting a answer that i will check, i will check. But no one was bothered to check for the room.  And the reply was so rude towards me from your reception guy.... Sir Please Wait... I will inform you once room is ready ......He said please but soooo much arrogance in that... One Duty manager was there, when I asked her about room time was…",1/7/2022,1
